"Population estimates, quarterly 1 2 3 4"
"Frequency: Quarterly"
"Table: 17-10-0009-01 (formerly CANSIM 051-0005)"
"Release date: 2021-12-16"
"Geography: Canada, Province or territory"
""
""

"Geography","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021"
,"Persons",,,,
"Canada","38,033,014","38,068,872","38,153,211","38,246,108","38,436,447"
"Newfoundland and Labrador","520,194","519,664","519,693","520,553","521,758"
"Prince Edward Island","161,402","161,514","162,596","164,318","165,936"
"Nova Scotia","981,552","982,012","985,776","992,055","998,832"
"New Brunswick","783,257","784,156","785,819","789,225","794,300"
"Quebec","8,579,476","8,579,370","8,587,179","8,604,495","8,631,147"
"Ontario","14,740,704","14,759,431","14,795,883","14,826,276","14,915,270"
"Manitoba","1,380,447","1,381,459","1,383,638","1,383,765","1,386,333"
"Saskatchewan","1,178,164","1,178,971","1,180,314","1,179,844","1,180,867"
"Alberta","4,424,557","4,431,454","4,438,772","4,442,879","4,464,170"
"British Columbia","5,156,587","5,163,919","5,185,990","5,214,805","5,249,635"
"Yukon","42,300","42,344","42,586","42,986","43,095"
"Northwest Territories 5","45,265","45,323","45,629","45,504","45,515"
"Nunavut 5","39,109","39,255","39,336","39,403","39,589"




Footnotes:
1,"Postcensal estimates are based on the 2016 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated Indian reserves (IEIR)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IEIR) and postcensal estimates."
2,"Population estimates: Q1 = January 1; Q2 = April 1; Q3 = July 1; Q4 = October 1."
3,"Estimates are final intercensal and unadjusted for census net undercoverage prior to July 1, 1971. Estimates are final intercensal from July 1, 1971 to April 1, 2016, final postcensal from July 1, 2016 to July 1, 2019, updated postcensal from October 1, 2019 to April 1, 2021 and preliminary postcensal from July 1, 2021."
4,"The population growth, which is used to calculate population estimates, is comprised of the natural growth (Table 17100059), international migration (Table 17100040) and interprovincial migration (Tables 17100020 and 17100045)."
5,"Prior to July 1, 1991, only population estimates for Northwest Territories and Nunavut combined are available."



"How to cite: Statistics Canada. Table 17-10-0009-01  Population estimates, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000901
